Count ,Name                   ,Category   ,hide,Grade      ,Encoded Name 
0,,,0,,atmosphericextractors
0,,,0,,marinesupplies
16,Aberrant Shield Pattern Analysis,Encoded,0,Rare,shieldpatternanalysis
11,Abnormal Compact Emission Data,Encoded,1,Very rare,compactemissionsdata
38,Anomalous Bulk Scan Data,Encoded,4,Very common,bulkscandata
26,Anomalous FSD Telemetry,Encoded,1,Common,fsdtelemetry
13,Arsenic,Raw,2,Standard,arsenic
0,Articulation Motors,Commodity,15,Standard,ArticulationMotors
3,Atypical Disrupted Wake Echoes,Encoded,3,Very common,disruptedwakeechoes
1,Basic Conductors,Manufactured,0,Very common,basicconductors
0,Basic Medicines,Medicines (Commodity),0,,basicmedicines
2,Biotech Conductors,Manufactured,10,Very rare,biotechconductors
3,Biowaste,Waste (Commodity),0,,biowaste
0,Bromellite,Commodity,3,Standard,Bromellite
0,Carbon,Raw,48,Very common,carbon
30,Chemical Distillery,Manufactured,2,Standard,chemicaldistillery
8,Chemical Manipulators,Manufactured,4,Rare,chemicalmanipulators
44,Chemical Processors,Manufactured,3,Common,chemicalprocessors
3,Chromium,Raw,16,Common,chromium
28,Classified Scan Databanks,Encoded,0,Standard,scandatabanks
3,Classified Scan Fragment,Encoded,1,Very rare,classifiedscandata
0,Clothing,Consumer Items (Commodity),0,,clothing
15,CMM Composite,Commodity,76,Standard,CMMComposite
0,Cobalt,Metals (Commodity),0,,cobalt
29,Compound Shielding,Manufactured,17,Rare,compoundshielding
5,Conductive Ceramics,Manufactured,57,Standard,conductiveceramics
29,Conductive Components,Manufactured,57,Common,conductivecomponents
0,Conductive Fabrics,Textiles (Commodity),0,,conductivefabrics
2,Conductive Polymers,Manufactured,20,Rare,conductivepolymers
15,Configurable Components,Manufactured,13,Rare,configurablecomponents
0,Consumer Technology,Consumer Items (Commodity),0,,consumertechnology
9,Core Dynamics Composites,Manufactured,15,Very rare,fedcorecomposites
6,Cracked Industrial Firmware,Encoded,16,Standard,industrialfirmware
1,Crystal Shards,Manufactured,0,Very common,crystalshards
1,Datamined Wake Exceptions,Encoded,1,Very rare,dataminedwake
16,Decoded Emission Data,Encoded,1,Rare,decodedemissiondata
18,Distorted Shield Cycle Recordings,Encoded,9,Very common,shieldcyclerecordings
22,Divergent Scan Data,Encoded,1,Rare,encodedscandata
0,Domestic Appliances,Consumer Items (Commodity),0,,domesticappliances
10,Drones,,0,,drones
6,Eccentric Hyperspace Trajectories,Encoded,2,Rare,hyperspacetrajectories
